State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Disaster Types
CT,1992,0.0,0.0,0.0,3.0,{'Flood': 3}
FL,1992,44.0,55.0,26500000.0,15.0,"{'Flood': 4, 'Hurricane': 4, 'Severe Storm': 7}"
GA,1992,27.0,0.0,0.0,14.0,{'Tornado': 14}
ID,1992,0.0,0.0,85000.0,,
IL,1992,0.0,0.0,0.0,1.0,{'Flood': 1}
IN,1992,43.0,0.0,0.0,21.0,"{'Flood': 6, 'Severe Storm': 15}"
KS,1992,0.0,0.0,0.0,,
KY,1992,27.0,0.0,0.0,,
LA,1992,71.0,55.0,26500000.0,36.0,{'Hurricane': 36}
MA,1992,12.0,0.0,3000000.0,9.0,{'Coastal Storm': 9}
MI,1992,0.0,0.0,0.0,,
MN,1992,0.0,0.0,0.0,10.0,{'Severe Storm': 10}
MO,1992,0.0,0.0,0.0,,
MS,1992,0.0,0.0,0.0,26.0,{'Tornado': 26}
NC,1992,27.0,0.0,0.0,,
NE,1992,0.0,0.0,0.0,8.0,{'Flood': 8}
NJ,1992,12.0,0.0,3000000.0,17.0,"{'Severe Storm': 5, 'Flood': 12}"
NM,1992,0.0,0.0,0.0,1.0,{'Flood': 1}
NY,1992,39.0,24.0,3000000.0,5.0,{'Flood': 5}
OH,1992,27.0,0.0,0.0,24.0,{'Severe Storm': 24}
OK,1992,0.0,0.0,0.0,,
OR,1992,0.0,0.0,85000.0,4.0,{'Fire': 4}
PA,1992,12.0,0.0,3000000.0,,
RI,1992,0.0,0.0,0.0,2.0,{'Toxic Substances': 2}
SD,1992,0.0,0.0,0.0,8.0,{'Severe Storm': 8}
TN,1992,27.0,0.0,0.0,,
TX,1992,35.0,0.0,0.0,33.0,"{'Flood': 3, 'Tornado': 4, 'Severe Storm': 26}"
UT,1992,0.0,0.0,85000.0,,
WI,1992,0.0,0.0,0.0,12.0,"{'Tornado': 2, 'Flood': 10}"
AL,1993,317.0,0.0,5000000.0,67.0,{'Snowstorm': 67}
AR,1993,3.0,60.0,0.0,,
AZ,1993,43.0,0.0,100000.0,17.0,"{'Flood': 13, 'Fire': 4}"
CA,1993,66.0,130.0,1195400.0,33.0,"{'Flood': 27, 'Fire': 6}"
CO,1993,0.0,0.0,0.0,,
CT,1993,273.0,0.0,5000000.0,8.0,{'Snowstorm': 8}
DE,1993,270.0,0.0,5000000.0,4.0,"{'Coastal Storm': 1, 'Snowstorm': 3}"
FL,1993,270.0,0.0,5000000.0,38.0,{'Tornado': 38}
GA,1993,273.0,0.0,5000000.0,101.0,"{'Tornado': 8, 'Snowstorm': 93}"
IA,1993,48.0,0.0,12000000.0,114.0,{'Flood': 114}
IL,1993,51.0,0.0,12000000.0,39.0,{'Flood': 39}
IN,1993,3.0,0.0,0.0,6.0,{'Severe Storm': 6}
KS,1993,51.0,60.0,12000000.0,57.0,{'Flood': 57}
KY,1993,273.0,0.0,5000000.0,73.0,{'Snowstorm': 73}
LA,1993,273.0,60.0,5000000.0,9.0,{'Flood': 9}
MA,1993,270.0,0.0,5000000.0,14.0,{'Snowstorm': 14}
MD,1993,270.0,0.0,5000000.0,24.0,{'Snowstorm': 24}
ME,1993,270.0,0.0,5000000.0,28.0,"{'Snowstorm': 16, 'Flood': 12}"
MN,1993,71.0,60.0,12000000.0,57.0,{'Severe Storm': 57}
MO,1993,48.0,0.0,12000000.0,137.0,"{'Flood': 113, 'Severe Storm': 24}"
NC,1993,271.0,0.0,5000000.0,60.0,"{'Snowstorm': 59, 'Hurricane': 1}"
ND,1993,48.0,0.0,12000000.0,39.0,{'Flood': 39}
NE,1993,53.0,60.0,12000000.0,65.0,{'Flood': 65}
NH,1993,270.0,0.0,5000000.0,10.0,{'Snowstorm': 10}
NJ,1993,273.0,0.0,5000000.0,21.0,{'Snowstorm': 21}
NV,1993,43.0,0.0,100000.0,,
NY,1993,273.0,0.0,5000000.0,63.0,"{'Snowstorm': 62, 'Human Cause': 1}"
OH,1993,273.0,0.0,5000000.0,,
OK,1993,13.0,150.0,125000.0,48.0,"{'Tornado': 4, 'Severe Storm': 44}"
OR,1993,2.0,0.0,7500.0,5.0,{'Earthquake': 5}
PA,1993,3.0,0.0,0.0,67.0,{'Snowstorm': 67}
RI,1993,270.0,0.0,5000000.0,5.0,{'Snowstorm': 5}
SC,1993,270.0,0.0,5000000.0,,
SD,1993,51.0,60.0,12000000.0,39.0,{'Severe Storm': 39}
